region,World,World,World
climate_model,MAGICC6,MAGICC6,MAGICC6
todo,N/A,N/A,N/A
scenario,NDC_10_2000,NDC_2000,NDC_5_2000
unit,K,K,K
variable,Surface Temperature,Surface Temperature,Surface Temperature
model,unspecified,unspecified,unspecified
2029-01-01 00:00:00,1.5885472980000002,1.5885472980000002,1.5885472980000002
2030-01-01 00:00:00,1.6218421399999998,1.6218421399999998,1.6218421399999998
2031-01-01 00:00:00,1.6531541699999999,1.6531541699999999,1.6531541699999999
2032-01-01 00:00:00,1.687357142,1.687357142,1.687357142
2033-01-01 00:00:00,1.7196300309999997,1.7196300309999997,1.7196300309999997
2034-01-01 00:00:00,1.7519419399999998,1.7519419399999998,1.7519419399999998
2035-01-01 00:00:00,1.783475964,1.783475964,1.783475964
2036-01-01 00:00:00,1.816104999,1.816104999,1.816104999
2037-01-01 00:00:00,1.8502055889999998,1.8502055889999998,1.8502055889999998
2038-01-01 00:00:00,1.8860719869999998,1.8860719869999998,1.8860719869999998
2039-01-01 00:00:00,1.922260949,1.922260949,1.922260949
2040-01-01 00:00:00,1.955092289,1.955092289,1.955092289
2041-01-01 00:00:00,1.988513851,1.988513851,1.988513851
2042-01-01 00:00:00,2.021030276,2.021030276,2.021030276
2043-01-01 00:00:00,2.0513496079999998,2.0513496079999998,2.0513496079999998
2044-01-01 00:00:00,2.0840625449999997,2.0840625449999997,2.0840625449999997
2045-01-01 00:00:00,2.1126332059999995,2.1126332059999995,2.1126332059999995
2046-01-01 00:00:00,2.1454505259999994,2.1454505259999994,2.1454505259999994
2047-01-01 00:00:00,2.1777972769999994,2.1777972769999994,2.1777972769999994
2048-01-01 00:00:00,2.2128914209999997,2.2128914209999997,2.2128914209999997
2049-01-01 00:00:00,2.248511454,2.248511454,2.248511454
2050-01-01 00:00:00,2.2795403679999997,2.2795403679999997,2.2795403679999997
2051-01-01 00:00:00,2.3106377019999993,2.3106377019999993,2.3106377019999993
2052-01-01 00:00:00,2.341835236,2.341835236,2.341835236
2053-01-01 00:00:00,2.372997202,2.372997202,2.372997202
2054-01-01 00:00:00,2.40510671,2.40510671,2.40510671
2055-01-01 00:00:00,2.435782107,2.435782107,2.435782107
2056-01-01 00:00:00,2.4659070059999997,2.4659070059999997,2.4659070059999997
2057-01-01 00:00:00,2.497253237,2.497253237,2.497253237
2058-01-01 00:00:00,2.5281803399999996,2.5281803399999996,2.5281803399999996
2059-01-01 00:00:00,2.5574782179999995,2.5574782179999995,2.5574782179999995
2060-01-01 00:00:00,2.587151643,2.587151643,2.587151643
2061-01-01 00:00:00,2.6169710950000002,2.6169710950000002,2.6169710950000002
2062-01-01 00:00:00,2.645655137,2.645655137,2.645655137
2063-01-01 00:00:00,2.670638159,2.670638159,2.670638159
2064-01-01 00:00:00,2.6950679009999994,2.6950679009999994,2.6950679009999994
2065-01-01 00:00:00,2.7202136629999996,2.7202136629999996,2.7202136629999996
2066-01-01 00:00:00,2.75383634,2.75383634,2.75383634
2067-01-01 00:00:00,2.783480451,2.783480451,2.783480451
2068-01-01 00:00:00,2.8067906639999993,2.8067906639999993,2.8067906639999993
2069-01-01 00:00:00,2.832434379,2.832434379,2.832434379
2070-01-01 00:00:00,2.8605857360000004,2.8605857360000004,2.8605857360000004
2071-01-01 00:00:00,2.88631752,2.88631752,2.88631752
2072-01-01 00:00:00,2.909627171,2.909627171,2.909627171
2073-01-01 00:00:00,2.932441822,2.932441822,2.932441822
2074-01-01 00:00:00,2.9547645030000003,2.9547645030000003,2.9547645030000003
2075-01-01 00:00:00,2.977507964,2.977507964,2.977507964
2076-01-01 00:00:00,2.9981771029999997,2.9981771029999997,2.9981771029999997
2077-01-01 00:00:00,3.0221362999999997,3.0221362999999997,3.0221362999999997
2078-01-01 00:00:00,3.0481485,3.0481485,3.0481485
2079-01-01 00:00:00,3.07058403,3.07058403,3.07058403
2080-01-01 00:00:00,3.0917342929999996,3.0917342929999996,3.0917342929999996
2081-01-01 00:00:00,3.1148816679999998,3.1148816679999998,3.1148816679999998
2082-01-01 00:00:00,3.131870497,3.131870497,3.131870497
2083-01-01 00:00:00,3.1574424189999997,3.1574424189999997,3.1574424189999997
2084-01-01 00:00:00,3.177859753,3.177859753,3.177859753
2085-01-01 00:00:00,3.201020193,3.201020193,3.201020193
2086-01-01 00:00:00,3.2216780959999998,3.2216780959999998,3.2216780959999998
2087-01-01 00:00:00,3.241922689,3.241922689,3.241922689
2088-01-01 00:00:00,3.2637114749999996,3.2637114749999996,3.2637114749999996
2089-01-01 00:00:00,3.287067385,3.287067385,3.287067385
2090-01-01 00:00:00,3.3100474269999993,3.3100474269999993,3.3100474269999993
2091-01-01 00:00:00,3.329121171,3.329121171,3.329121171
2092-01-01 00:00:00,3.3488034119999996,3.3488034119999996,3.3488034119999996
2093-01-01 00:00:00,3.3681567159999997,3.3681567159999997,3.3681567159999997
2094-01-01 00:00:00,3.3851573499999996,3.3851573499999996,3.3851573499999996
2095-01-01 00:00:00,3.4012036919999997,3.4012036919999997,3.4012036919999997
2096-01-01 00:00:00,3.416579782,3.416579782,3.416579782
2097-01-01 00:00:00,3.4310312879999993,3.4310312879999993,3.4310312879999993
2098-01-01 00:00:00,3.443966985,3.443966985,3.443966985
2099-01-01 00:00:00,3.460055147,3.460055147,3.460055147
2100-01-01 00:00:00,3.475203286,3.475203286,3.475203286
2101-01-01 00:00:00,3.4892927089999994,3.4892927089999994,3.4892927089999994
2102-01-01 00:00:00,3.503119616,3.503119616,3.503119616
2103-01-01 00:00:00,3.5166770029999994,3.5166770029999994,3.5166770029999994
2104-01-01 00:00:00,3.52996374,3.52996374,3.52996374
2105-01-01 00:00:00,3.542977695,3.542977695,3.542977695
